station,lat,lon,zone
Sutton,51.35950614,-0.191302011,5
Sutton Common,51.37555469,-0.196919912,4
Swiss Cottage,51.54303485,-0.175626604,2
Sydenham,51.42734125,-0.055088671,3
Sydenham Hill,51.43257589,-0.080230208,3
Syon Lane,51.48147469,-0.326495035,4
Tadworth,51.29162786,-0.236008016,6
Tattenham Corner,51.30918131,-0.242566273,6
Teddington,51.4244975,-0.332705337,6
Temple,51.51104061,-0.11372575,1
Thames Ditton,51.38861607,-0.338292838,6
Theobalds Grove,51.69237259,-0.034748134,7
Therapia Lane,51.38568579,-0.129017107,"3,4,5,6"
Theydon Bois,51.67255208,0.102890736,6
Thornton Heath,51.39848108,-0.100433165,4
Tolworth,51.37684332,-0.279620115,5
Tooting,51.41989663,-0.161002472,3
Tooting Bec,51.43583806,-0.159700492,3
Tooting Broadway,51.42704914,-0.168684527,3
Tottenham Court Road,51.51621087,-0.131110439,1
Tottenham Hale,51.58799778,-0.060187823,3
Totteridge and Whetstone,51.63024672,-0.179354263,4
Tower Gateway,51.51039264,-0.074409877,1
Tower Hill,51.51039427,-0.076701198,1
Tufnell Park,51.5564408,-0.137742175,2
Tulse Hill,51.43979743,-0.105122509,3
Turkey Street,51.67265366,-0.047229931,6
Turnham Green,51.49518194,-0.254524568,2
Turnpike Lane,51.59035813,-0.102805041,3
Twickenham,51.45025095,-0.328860226,5
Upminster,51.55876336,0.251400801,6
Upminster Bridge,51.5577188,0.234541889,6
Upney,51.53840565,0.101531744,4
Upper Holloway,51.5636233,-0.129109364,2
Upper Warlingham,51.30877225,-0.077481662,6
Upton Park,51.5366282,0.03454184,3
Uxbridge,51.54645451,-0.47710156,6
Vauxhall,51.4857358,-0.123829953,"1,2"
Victoria,51.49642395,-0.143920706,1
Waddon,51.36737926,-0.117394077,5
Waddon Marsh,51.37708295,-0.117987465,"3,4,5,6"
Wallington,51.36033154,-0.150863835,5
Waltham Cross,51.68525726,-0.026564257,7
Walthamstow Central,51.58301811,-0.019940545,3
Walthamstow Queens Road,51.58154619,-0.023843943,3
Wandle Park,51.37340072,-0.113253321,"3,4,5,6"
Wandsworth Common,51.4463656,-0.163536981,3
Wandsworth Road,51.4702232,-0.139037676,2
Wandsworth Town,51.46103408,-0.187910038,2
Wanstead,51.57490215,0.028760472,4
Wanstead Park,51.55177808,0.026389943,3
Wapping,51.50434032,-0.055860815,2
Warren Street,51.52457999,-0.138278332,1
Warwick Avenue,51.52310444,-0.182953293,2
Waterloo,51.50314664,-0.113259252,1
Watford,51.6576051,-0.417270007,7
Watford High Street,51.6526537,-0.391696729,8
Watford Junction,51.66388301,-0.396171957,
Wellesley Road,51.37536754,-0.097524909,"3,4,5,6"
Welling,51.46477709,0.101775038,4
Wembley Central,51.55186478,-0.296392327,4
Wembley Park,51.56332246,-0.279242553,4
Wembley Stadium,51.55465457,-0.286046447,4
West Acton,51.51777015,-0.280657175,3
West Brompton,51.48732891,-0.195538812,2
West Croydon,51.37855217,-0.102034293,5
West Drayton,51.51007122,-0.472176097,6
West Dulwich,51.44091182,-0.090672676,3
West Ealing,51.51362521,-0.319782955,3
West Finchley,51.60926273,-0.18891711,4
West Ham,51.52852552,0.005317394,3
West Hampstead,51.54747433,-0.191126586,2
